village_name
अर्जुणी
अस्वलपार
आंबेझरी
आमपायली
आलकणार
इरपुंडी
ईरुपटोला
ईरूपधोडरी
उदेगाव
उमरपाल
उशिरपार
एडमपायली मोठी
एडसगोंदी
कचकल
कटेझरी (कारवाफा)
कनगडी
कनारटोला
कनेली
कन्हाळगाव
कन्हाळटोला
करंगामी टोला
करेमयान
करेमरका
कवडीकसा
कांदाळी
काकडयेली
कामथळा
कामनगड
कारवाफा बाजार मंगळ
किसनेली
कुडकवाही
कुथेगाव
कुपानेर
कुलभट्टी
कुसूमटोला
केसनेर
केहकावाही
कोंडेखल
कोंदा
कोकडकसा
कोपागुडा
केलारबोडी
कोवानटोला
कोसमी क्र.1
खरकाळी
खरगी
खांबाळा
खुटगाव
खेडी
खेडेगाव
गजामेंढी
गटानेली
गट्टा
गट्टेपायली
गातापेडी
गायडोंगरी
गिरोला
गुजनवाडी
गुमडी
गुरेकसा
गोटा (कारवाफा)
गोटा (पेंढरी)
गोटाटोला
गोडलवाही
गोडलवाही टोला
घोटेविहीर
घोडेझरी
चव्हेला
चातगाव टोला
चातगाव बाजार बुध
चारवाही
चिंगली
चिचोडा
चिचोली
चिमरीकल
चुटिंगटोला
चुडीयाल
जप्पी
जांगदा
जांभळी
जांभळीझोरा
जेवलवाही
झरी
झाडापापडा
टवेटोला
डब्बा
डोंगरहुड
डोंरी
ढवळी
ढोरगट्टा
तळेगाव
तळोधी
तहकापार
तुकुम
तुमडीकसा
तुळमेर
तोडे
तोयागोंदी
दराची
दुधमाळा
दुर्गापुर
दुसानटोला
देऊळगाव
देवसुर
नवरगाव
नवेगाव
निमगाव
निमनवाडा
पदाबोरीया
पन्नेमारा
पयडी
परसवाडी
परसविहीर
पलखेडा
पळसगाव
पवणी
पांढरसडा
पाथरगोटा (कारवाफा)
पाथरगोटा (पेंढरी)
पावरवेल
पावेटोला
पुलखल
पुसावंडी
पुस्टोला
पेकिन मुडझा
फाशीटोला
फुलकोडो
फुलबोडी
बंधुर
बांधोना
बेलगाव
बोटेहुर
बोधनखेडा
बोधिन
बोरी
भटमऱ्यान
भापडा
भिमपुर
भुरानटोला
भुसनपुडो
भेंडीकन्हार
भोजगट्टा
मंगेवाडा
मकदंड
मक्केपायली
मरकेगाव मुरूमगाव
मरकेगाव (चिचोडा)
मर्मा
महावाड 2
महावाडा
माळंदा
मासरगट्टा
मासानदी
मिचगाव
मिचगाव खु.
मिचगाव बु.
मिचटोला
मुंगणेर
मुंजालगोंदी
मुरगाव
मुरझर
मुरूमगाव
मुस्का मुरूमगाव
मेंढाटोला
मेंढालेखा
मेटेजांगदा
मोडेभट्टी
मोरचुल
मोवाड
मोहगाव
मोहली
मोहली टोला
येडमपायली लहान
येनगाव
येरंडी
येरकड
रांगी
राजोली
रानवाही
रामपूर
रिडवाही
रेन्गागाव
रेंगाटोला
रेंगादंडी
रेखाटोला
रेचा
रोंडावाही
रोपिनगट्टा
लहान - झेलीया
लाडझोरा
लेखा
वडगाव
वाघभुमी
शिवगाटा
समलपूर
साखेरा
साखेराटोला
सायगाव
सालईटोला
सालेभट्टी
सावंगा खुर्द
सावंगा बुज
सावरगाव
सिंगापुर
सिंसुर
सिनदेसुर
सीताटोला
सुरसुंडी
सोडे
हटझर
हटानझुर
हणपायली
हरांडा
हाडापेठ
हिपानेर
हिरंगे
हेटी
होरेकसा
कोंदावाही
जपतलाई
जांभळी टोला
पेंढरी
येनगाव 1
मंगेवाडा 1
"कटेझरी (बाजार, शुक्र)"
"कोसमी क्र.1 (बाजार, बुध)"
"दुधमाळा(बाजार, सोमवार)"
"पेंढरी (बाजार, गुरुवार)"
"मुरूमगाव (बाजार, मंगळ)"
"रांगी (बाजार, बुधवार)"
"येरकड (बाजार, सोम)"
"सावरगाव (बाजार, शुक्र)"
"मिचगाव बु.(बाजार, रविवार)"
"जपतलाई (बाजार, बुधवार)"
"कोंदावाही (बाजार, मंगळ)"
खेडी - मोवाड
